"PhysicalCity","n"
"",44
"Absarokee",36
"Absorkee",1
"Acton",2
"Alder",7
"Alpine",1
"Alzada",7
"Anaconda",5
"Arlee",1
"Ashland",8
"Ashton",2
"Augusta",11
"Auguste",1
"BIllings",1
"Babb",4
"Baker",70
"Ballantine",67
"Barber",1
"Basin",3
"Belfry",12
"Belgrade",151
"Belt",10
"Biddle",9
"Big Belt MTNS",2
"Big Fork",4
"Big Sandy",1
"Big Sky",29
"Big Timber",23
"Big timber",2
"Bigfork",1
"Billings",307
"Birney",1
"Black Eagle",1
"Bloomfield",4
"Bonner",1
"Boulder",16
"Boulder Valley",1
"Bowman",1
"Boyd",7
"Boyes",6
"Bozeman",664
"Bridger",35
"Broadus",82
"Broadview",2
"Browning",8
"Buffalo",2
"Busby",2
"Butte",10
"Bynum",4
"Byron",2
"Cameron",15
"Camp Crook",1
"Canyon Creek",3
"Canyon Ferry",1
"Capitol",3
"Cardwell",13
"Carter",2
"Cascade",10
"Charlo",10
"Chester",1
"Cheyenne",1
"Chinook",9
"Chorlo",1
"Choteau",37
"Circle",4
"Clancy",29
"Clark",3
"Clinton",1
"Clyde Park",1
"Cody",35
"Colstrip",5
"Columbus",82
"Condon",5
"Conner",6
"Conrad",17
"Cooke City",4
"Coram",1
"Corvallis",99
"Craig",2
"Crandal",1
"Crane",1
"Criag/Wolf Creek",1
"Crow Agency",2
"Culbertson",1
"Custer",6
"Cut Bank",39
"Darby",33
"Deaver",2
"Del Boruta",1
"Denton",10
"Dillon",11
"Dodson",14
"Drummond",1
"DuPuyer",1
"Dudson",1
"Dupuyer",5
"Dutton",4
"East Glacier Park",2
"East Helena",30
"Edgar",3
"Ekalaka",41
"Elliston",4
"Emigrant",10
"Encampment",1
"Ennis",50
"Essex",3
"Fairfield",37
"Fairview",6
"Fallon",11
"Fishtail",22
"Flatwillow",1
"Flaxville",6
"Florence",23
"Floweree",1
"Forest Grove",5
"Forsyth",40
"Fort Benton",12
"Fort Peck",2
"Fort Shaw",7
"Fort Smith",4
"Fortine",2
"Four Buttes",1
"Fox",1
"Frazer",2
"Fromberg",12
"Galata",3
"Gallatin Gateway",66
"Gardiner",5
"Garryowen",2
"Georgetown Lake",1
"Geraldine",3
"Geyser",3
"Glacier County",1
"Glasgow",8
"Glen",1
"Glendive",59
"Gold Creek",2
"Grass Range",4
"Great Falls",47
"Greenough",1
"Greycliff",2
"Hamilton",144
"Hammond",5
"Hardin",37
"Harlem",17
"Harlowton",6
"Harrison",4
"Havre",4
"Hays",1
"Helena",311
"Heron",4
"Hilger",6
"Hinsdale",8
"Hobson",6
"Hogeland",1
"Hot Springs",4
"Huntley",61
"Hysham",21
"Island Park",6
"Ismay",8
"Jeffers",3
"Jefferson City",6
"Joliet",50
"Jordan",4
"Judith Gap",1
"Kalispell",7
"Kettle Falls",1
"Kevin",2
"Kila",2
"Lakeside",1
"Lambert",8
"Lame Deer",16
"Larslan",8
"Laurel",76
"Lavina",19
"Ledger",1
"Lewistown",46
"Libby",1
"Lincoln",23
"Lindsay",5
"Livingston",30
"Lockwood",1
"Lodge Grass",10
"Lodge Pole",1
"Logan",3
"Loma",9
"Lonepine",1
"Loring",4
"Lovell",2
"Lustre",4
"MCallister",1
"Malta",53
"Manderson",1
"Manhattan",62
"Marmarth",3
"Martinsdale",4
"Marysville",5
"McAllister",13
"McLeod",5
"Meagher City",1
"Meagher County",1
"Meeteetse",8
"Melrose",1
"Melstone",16
"Melville",4
"Midway",1
"Miles City",41
"Missoula",1
"Moccasin",7
"Molt",19
"Monarch",3
"Montana City",2
"Moore",4
"Musselshell",8
"Myrtle",1
"Nashua",16
"Neihart",1
"Norris",1
"Nye",18
"Oilmont",2
"Olive",11
"Opheim",3
"Otter",3
"Park City",32
"Peerless",4
"Pendroy",1
"Philipsburg",2
"Plains",13
"Plentywood",1
"Plevna",22
"Polebridge",1
"Polson",10
"Pompeys Pillar",9
"Pony",13
"Poplar",4
"Powderville",2
"Powell",64
"Power",6
"Pray",9
"Pryor",5
"Radersburg",1
"Ramsay",2
"Rapelje",5
"Raynesford",8
"Red Lodge",99
"Redstone",1
"Reed Point",16
"Reed point",1
"Richey",5
"Richland",3
"Ringling",4
"Roberts",42
"Rockvale",3
"Ronan",13
"Roscoe",5
"Rosebud",7
"Roundup",125
"Roy",5
"Ryegate",17
"Saco",17
"Saint Xavier",4
"Sand Coulee",1
"Sand Springs",1
"Sanders",1
"Savage",9
"Scobey",16
"Seeley Lake",3
"Shawmut",3
"Shelby",5
"Shepard",1
"Shepherd",63
"Sheridan",11
"Shonkin",1
"Sidney",33
"Silesia",5
"Silver Gate",3
"Silver Star",2
"Silvergate",1
"Simms",2
"Smith River",1
"St Ignatius",2
"Stanford",35
"Stevensville",72
"Stockett",2
"Sula",4
"Sumatra",1
"Sun River",6
"Sunburst",6
"Sweet Grass",1
"T. Ion R. 57 E Sec 17",1
"Terry",75
"Thompson Falls",3
"Three Forks",67
"Toston",13
"Townsend",19
"Trego",1
"Trout Creek",11
"Turner",5
"Twin Bridges",1
"Two Dot",2
"Ulm",16
"Valentine",1
"Valier",13
"Vaughn",9
"Victor",48
"Vida",9
"Volborg",17
"Wagner",2
"Wapiti",5
"West Glacier",1
"West Yellowstone",36
"White Sulphur Springs",10
"Whitehall",89
"Whitetail",1
"Whitewater",9
"Wibaux",15
"Willard",1
"Willow Creek",2
"Wilsall",11
"Windham",2
"Winifred",12
"Winnett",15
"Winston",1
"Wolf Creek",18
"Wolf Point",8
"Wolfcreek",1
"Worden",67
"Worland",1
"Wyola",1
"medicine Lake",1
